"New York, NY",top,weekday,  41.9020697997, 30.2290565277, 22.6714916473, 17.5163639674, 12.7733429573, 10.0392696202, 8.16945956315, 6.97690902115, 6.47803073162, 7.03978983373, 13.4652464837, 23.2391811839, 44.4034060982, 88.786426328, 123.464700259, 188.233114193, 251.272552883, 319.349193344, 299.184357179, 235.370203469, 197.404368493, 191.676056521, 192.299434918, 220.21617474, 265.212455213, 282.995773265, 282.750238973, 264.562272813, 250.009363844, 240.300150212, 239.920777979, 241.618559919, 242.766437122, 253.168731264, 314.912187953, 349.880923119, 378.002549046, 367.097598564, 327.479740934, 286.331720671, 245.718570973, 211.04070671, 184.988503281, 162.565810265, 144.816754778, 119.378988575, 94.8237841634, 73.3918378494
"Jersey City, NJ",top,weekday,  31.7676216913, 25.6619906811, 18.0330623575, 13.7424407653, 10.7835332606, 8.72087835828, 6.93020719738, 6.91370080301, 8.21081590166, 7.65168038069, 15.8552096758, 24.8551601071, 53.5898681471, 86.1358183801, 157.317537424, 223.367056608, 276.739664915, 291.249132547, 269.475909587, 230.438138198, 193.325716268, 179.600128879, 183.311242193, 210.837216219, 233.288242292, 244.379845345, 252.634133043, 243.390948746, 232.456924755, 236.062555765, 241.615693467, 239.45632993, 233.884009121, 240.817586993, 273.340140775, 315.628184792, 335.948349361, 321.559532071, 281.754733816, 260.707445227, 247.626648161, 215.453405373, 186.865569545, 145.590066422, 122.765985922, 98.0766332904, 79.586299197, 57.6532665807
"San Francisco, CA",top,weekday,  30.4842391255, 20.4546801029, 14.1618704055, 12.1806435198, 9.07809106687, 6.37628008832, 5.51997710153, 5.89075065197, 6.73989332219, 7.10418805826, 13.9451163551, 27.8322050686, 51.0645882364, 90.0441068232, 123.856766408, 184.521040245, 230.354381151, 260.092938728, 241.279079699, 215.218180662, 198.194100917, 194.239679785, 201.405012222, 235.611080317, 284.819338307, 292.259479696, 274.99389374, 250.222587709, 235.750134029, 228.118935766, 233.462358361, 231.500295318, 239.13655487, 256.515270193, 307.630016992, 319.349356208, 327.198462531, 303.932331374, 272.85516715, 232.397906425, 199.540422168, 173.184032857, 150.447928688, 128.522012521, 111.791951005, 92.4452117655, 71.3098018192, 53.3738448537
"Boston, MA",top,weekday,  38.7867951826, 26.9572221788, 20.0459059983, 13.3342652694, 11.0013099241, 7.47861108939, 5.78867208884, 4.89700477047, 4.47045827794, 6.47839602722, 9.92533432392, 24.6270430906, 45.1192030969, 88.0925744897, 120.43851177, 186.109935872, 254.758191914, 284.943399546, 234.260127473, 214.352447799, 188.478493783, 194.509560491, 188.406369751, 229.39610542, 268.85088371, 279.935266286, 262.116915617, 254.02950262, 236.687847032, 240.686713068, 236.293501212, 240.594940174, 244.476558223, 274.746715414, 348.398197388, 359.37845077, 331.52084148, 306.052768437, 280.627883788, 250.30900524, 219.816767029, 190.218131696, 168.485747243, 142.227965903, 124.537381716, 104.197661688, 82.736236021, 67.7086103073
"Philadelphia, PA",top,weekday,  33.8831745496, 25.6217154259, 19.964884917, 15.3786358654, 11.9615968299, 8.32587190512, 6.32608267993, 6.3267009527, 7.57527470983, 10.6523339797, 21.8234128657, 43.6030688812, 65.7306016918, 101.916097575, 149.008430992, 216.5531012, 233.027976843, 244.809023972, 211.630961414, 201.71402074, 189.728690667, 199.578731417, 192.467990332, 228.223224574, 271.192212573, 267.475887362, 264.039372734, 244.427535621, 215.784377371, 218.325028806, 223.940828486, 228.81283197, 228.291375095, 262.160596352, 297.014993115, 283.798063682, 274.360537335, 256.057752297, 238.810372931, 217.529845713, 192.31113172, 168.836509007, 149.60263328, 124.944425709, 101.794494562, 80.7667565973, 69.5727454121, 55.0689093106
"Miami, FL",top,weekday,  32.0682453544, 23.2532295492, 17.6435527782, 12.61510351, 9.50041111659, 8.21586361892, 7.38566390762, 7.23205247675, 7.62791207586, 11.6651501032, 16.9666721482, 27.2232271739, 46.9350070347, 76.4729485282, 116.980321219, 150.569515248, 165.013612527, 180.251621627, 186.41385737, 181.197171518, 180.373202507, 191.54700433, 191.517531839, 202.483856822, 235.536169124, 227.93486086, 226.551279943, 218.798041258, 208.048182865, 199.172723784, 202.747263791, 196.142995487, 195.965795099, 199.567487073, 201.323758885, 207.499899505, 226.090500466, 225.776334302, 216.658718413, 205.655100587, 187.68587038, 159.466480294, 136.156096402, 114.884960441, 100.319081291, 81.5106250799, 67.392369676, 52.7527818889
"Chicago, IL",top,weekday,  28.1113440628, 21.2874624023, 15.2430439936, 11.6234952348, 9.23087569286, 6.88613457757, 6.32293957644, 6.559508883, 8.6293327304, 11.9410563675, 23.4301316177, 38.4147910629, 61.9179530397, 97.1811884648, 138.620919063, 196.697149082, 234.327783602, 247.768624146, 198.858920337, 180.045843525, 177.61324536, 183.101279179, 197.440943317, 229.444985715, 261.130720163, 263.168520003, 247.138667927, 229.240652813, 216.333847197, 212.865353915, 219.365734175, 216.628606469, 233.285249361, 259.7418347, 309.847855131, 307.949750947, 290.446116215, 266.096442005, 236.25789809, 201.985933828, 176.988503148, 155.731461498, 137.987372647, 117.871746384, 102.337156482, 81.8814344344, 65.0140935781, 49.9950943112
"Washington, DC",top,weekday,  29.737517876, 20.9756108935, 14.3507585649, 10.9811291426, 7.76310389853, 4.92700366847, 3.66713299758, 3.72136728222, 3.86151526457, 6.93853758627, 22.4586986259, 40.548265249, 58.1797861096, 90.5665765094, 121.599452838, 187.344432009, 261.190433999, 321.645386433, 276.473450227, 219.031679413, 185.722906174, 180.467807623, 186.00659081, 219.424314494, 268.338633961, 279.701610396, 264.84586209, 240.34440092, 224.081172667, 208.56290804, 214.298016539, 218.609696574, 219.778181931, 245.728533234, 304.375971523, 343.293011254, 368.484533358, 338.163355717, 298.108250948, 256.966812784, 230.688242243, 197.40107567, 174.950460113, 148.672635702, 125.245865199, 98.2105173164, 76.8944537711, 58.6419822172
"Seattle, WA",top,weekday,  24.3312574682, 18.2107541998, 14.6207914529, 11.3966261334, 9.65677936318, 7.06938918957, 7.49434174457, 7.13248049483, 9.02862163492, 10.1373023125, 21.418317284, 39.1814577915, 63.0638504252, 98.4335559148, 139.419807408, 188.971518943, 231.889295002, 222.356111619, 204.599297111, 189.730681099, 190.690419625, 197.270317003, 220.241104941, 248.276375905, 286.193238209, 273.092612638, 265.731861953, 243.115681451, 238.928600548, 230.772502987, 235.174569481, 237.903366838, 245.554579321, 255.903437127, 295.134350179, 304.075223167, 290.779574049, 261.458831799, 233.355225979, 205.781387503, 185.254248963, 155.753286005, 132.560314894, 112.030083644, 89.337963028, 70.144724819, 58.3136290153, 42.8777957405
"Oakland, CA",top,weekday,  32.1454047555, 25.7373430403, 18.2811915576, 13.1914907828, 8.64420251135, 5.87242853326, 4.65872962864, 4.23189954582, 5.25854929201, 8.07056505477, 10.4445965803, 21.845378039, 59.4287670318, 96.80293214, 127.688986107, 151.71249666, 203.296186214, 234.132480631, 237.368387657, 226.00247128, 210.533763024, 208.083388993, 218.746593641, 243.268534598, 289.576943628, 286.597348384, 264.793447769, 248.588298157, 233.558676196, 228.130610473, 230.67422522, 242.510586428, 243.005577077, 254.76365883, 293.490114881, 301.379207855, 292.786735239, 279.610439487, 259.751436014, 229.925060112, 196.987977558, 168.95501603, 145.674592573, 127.25146941, 108.805870959, 87.5240114881, 71.8427731766, 54.8909297355
